,name,company description,rating,review,salaries,no. of job opening
0,TCS,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +281 more,3.8,63.1k Reviews,733.7k Salaries,45 Jobs
1,Accenture,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +141 more,4.1,40.3k Reviews,513.5k Salaries,13.1k Jobs
2,Cognizant,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +111 more,3.9,36.7k Reviews,496.7k Salaries,510 Jobs
3,Wipro,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +246 more,3.8,33.4k Reviews,369.9k Salaries,462 Jobs
4,ICICI Bank,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1184 more,4.0,29.7k Reviews,137.2k Salaries,194 Jobs
5,HDFC Bank,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1422 more,3.9,29.3k Reviews,125.7k Salaries,403 Jobs
6,Infosys,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +135 more,3.9,27.6k Reviews,417.8k Salaries,777 Jobs
7,Capgemini,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +87 more,3.9,25.6k Reviews,337.4k Salaries,625 Jobs
8,Tech Mahindra,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +235 more,3.7,24.1k Reviews,236.3k Salaries,1.3k Jobs
9,HCLTech,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +153 more,3.7,23.2k Reviews,249.3k Salaries,681 Jobs
10,Genpact,IT Services & Consulting | 50k-1 Lakh Employees | Public | 26 years old | New York +78 more,4.0,23.1k Reviews,176.1k Salaries,633 Jobs
11,Axis Bank,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1221 more,3.8,19.6k Reviews,95.3k Salaries,282 Jobs
12,Concentrix Corporation,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +84 more,3.9,18.8k Reviews,96.8k Salaries,184 Jobs
13,Amazon,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +394 more,4.2,17.9k Reviews,118.9k Salaries,694 Jobs
14,IBM,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +131 more,4.1,17.7k Reviews,205.5k Salaries,2.8k Jobs
15,Reliance Jio,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1090 more,3.9,17.7k Reviews,66.6k Salaries,150 Jobs
