Unnamed: 0_x,name,rating_x,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee,Unnamed: 0_y,company description,rating_y,review,salaries,no. of job opening
0,TCS,3.9,(32.5k Reviews),Public,"Mumbai,Maharashtra + 217 more",54 years old,1 Lakh+ employees (India),0,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +281 more,3.8,63.1k Reviews,733.7k Salaries,45 Jobs
0,TCS,3.9,(32.5k Reviews),Public,"Mumbai,Maharashtra + 217 more",54 years old,1 Lakh+ employees (India),200,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +281 more,3.8,63.1k Reviews,733.7k Salaries,45 Jobs
0,TCS,3.9,(32.5k Reviews),Public,"Mumbai,Maharashtra + 217 more",54 years old,1 Lakh+ employees (India),400,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +281 more,3.8,63.1k Reviews,733.7k Salaries,45 Jobs
1,Accenture,4.0,(22.5k Reviews),Public,"Dublin,Dublin + 125 more",33 years old,1 Lakh+ employees (India),1,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +141 more,4.1,40.3k Reviews,513.5k Salaries,13.1k Jobs
1,Accenture,4.0,(22.5k Reviews),Public,"Dublin,Dublin + 125 more",33 years old,1 Lakh+ employees (India),201,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +141 more,4.1,40.3k Reviews,513.5k Salaries,13.1k Jobs
1,Accenture,4.0,(22.5k Reviews),Public,"Dublin,Dublin + 125 more",33 years old,1 Lakh+ employees (India),401,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +141 more,4.1,40.3k Reviews,513.5k Salaries,13.1k Jobs
2,Cognizant,3.9,(20.8k Reviews),Private,"Teaneck,New Jersey + 78 more",28 years old,1 Lakh+ employees (India),2,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +111 more,3.9,36.7k Reviews,496.7k Salaries,510 Jobs
2,Cognizant,3.9,(20.8k Reviews),Private,"Teaneck,New Jersey + 78 more",28 years old,1 Lakh+ employees (India),202,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +111 more,3.9,36.7k Reviews,496.7k Salaries,510 Jobs
2,Cognizant,3.9,(20.8k Reviews),Private,"Teaneck,New Jersey + 78 more",28 years old,1 Lakh+ employees (India),402,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +111 more,3.9,36.7k Reviews,496.7k Salaries,510 Jobs
3,ICICI Bank,4.0,(27.7k Reviews),Public,"Mumbai,Maharashtra + 925 more",28 years old,50k-1 Lakh employees (India),4,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1184 more,4.0,29.7k Reviews,137.2k Salaries,194 Jobs
3,ICICI Bank,4.0,(27.7k Reviews),Public,"Mumbai,Maharashtra + 925 more",28 years old,50k-1 Lakh employees (India),204,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1184 more,4.0,29.7k Reviews,137.2k Salaries,194 Jobs
3,ICICI Bank,4.0,(27.7k Reviews),Public,"Mumbai,Maharashtra + 925 more",28 years old,50k-1 Lakh employees (India),404,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1184 more,4.0,29.7k Reviews,137.2k Salaries,194 Jobs
4,HDFC Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1007 more",28 years old,1 Lakh+ employees (India),5,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1422 more,3.9,29.3k Reviews,125.7k Salaries,403 Jobs
4,HDFC Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1007 more",28 years old,1 Lakh+ employees (India),205,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1422 more,3.9,29.3k Reviews,125.7k Salaries,403 Jobs
4,HDFC Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1007 more",28 years old,1 Lakh+ employees (India),405,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1422 more,3.9,29.3k Reviews,125.7k Salaries,403 Jobs
5,Wipro,3.9,(19.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 233 more",77 years old,1 Lakh+ employees (India),3,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +246 more,3.8,33.4k Reviews,369.9k Salaries,462 Jobs
5,Wipro,3.9,(19.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 233 more",77 years old,1 Lakh+ employees (India),203,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +246 more,3.8,33.4k Reviews,369.9k Salaries,462 Jobs
5,Wipro,3.9,(19.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 233 more",77 years old,1 Lakh+ employees (India),403,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +246 more,3.8,33.4k Reviews,369.9k Salaries,462 Jobs
6,Capgemini,3.8,(16.5k Reviews),Public,Paris + 63 more,55 years old,1 Lakh+ employees (India),7,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +87 more,3.9,25.6k Reviews,337.4k Salaries,625 Jobs
6,Capgemini,3.8,(16.5k Reviews),Public,Paris + 63 more,55 years old,1 Lakh+ employees (India),207,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +87 more,3.9,25.6k Reviews,337.4k Salaries,625 Jobs
6,Capgemini,3.8,(16.5k Reviews),Public,Paris + 63 more,55 years old,1 Lakh+ employees (India),407,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +87 more,3.9,25.6k Reviews,337.4k Salaries,625 Jobs
8,Infosys,3.9,(19.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 109 more",41 years old,1 Lakh+ employees (India),6,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +135 more,3.9,27.6k Reviews,417.8k Salaries,777 Jobs
8,Infosys,3.9,(19.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 109 more",41 years old,1 Lakh+ employees (India),206,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +135 more,3.9,27.6k Reviews,417.8k Salaries,777 Jobs
8,Infosys,3.9,(19.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 109 more",41 years old,1 Lakh+ employees (India),406,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +135 more,3.9,27.6k Reviews,417.8k Salaries,777 Jobs
9,Tech Mahindra,3.7,(15.8k Reviews),Public,"Pune,Maharashtra + 163 more",36 years old,50k-1 Lakh employees (India),8,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +235 more,3.7,24.1k Reviews,236.3k Salaries,1.3k Jobs
9,Tech Mahindra,3.7,(15.8k Reviews),Public,"Pune,Maharashtra + 163 more",36 years old,50k-1 Lakh employees (India),208,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +235 more,3.7,24.1k Reviews,236.3k Salaries,1.3k Jobs
9,Tech Mahindra,3.7,(15.8k Reviews),Public,"Pune,Maharashtra + 163 more",36 years old,50k-1 Lakh employees (India),408,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +235 more,3.7,24.1k Reviews,236.3k Salaries,1.3k Jobs
10,Genpact,4.0,(15.2k Reviews),Private,"New York,New York + 51 more",25 years old,50k-1 Lakh employees (India),10,IT Services & Consulting | 50k-1 Lakh Employees | Public | 26 years old | New York +78 more,4.0,23.1k Reviews,176.1k Salaries,633 Jobs
10,Genpact,4.0,(15.2k Reviews),Private,"New York,New York + 51 more",25 years old,50k-1 Lakh employees (India),210,IT Services & Consulting | 50k-1 Lakh Employees | Public | 26 years old | New York +78 more,4.0,23.1k Reviews,176.1k Salaries,633 Jobs
10,Genpact,4.0,(15.2k Reviews),Private,"New York,New York + 51 more",25 years old,50k-1 Lakh employees (India),410,IT Services & Consulting | 50k-1 Lakh Employees | Public | 26 years old | New York +78 more,4.0,23.1k Reviews,176.1k Salaries,633 Jobs
11,Axis Bank,3.8,(14.7k Reviews),Public,"Mumbai,Maharashtra + 912 more",29 years old,50k-1 Lakh employees (India),11,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1221 more,3.8,19.6k Reviews,95.3k Salaries,282 Jobs
11,Axis Bank,3.8,(14.7k Reviews),Public,"Mumbai,Maharashtra + 912 more",29 years old,50k-1 Lakh employees (India),211,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1221 more,3.8,19.6k Reviews,95.3k Salaries,282 Jobs
11,Axis Bank,3.8,(14.7k Reviews),Public,"Mumbai,Maharashtra + 912 more",29 years old,50k-1 Lakh employees (India),411,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1221 more,3.8,19.6k Reviews,95.3k Salaries,282 Jobs
12,Vodafone Idea,4.2,(11.7k Reviews),Public,"Gandhinagar,Gujrat + 518 more",4 years old,10k-50k employees (India),20,10k-50k Employees | Public | 5 years old | Mumbai +604 more,4.2,14.3k Reviews,78.4k Salaries,357 Jobs
12,Vodafone Idea,4.2,(11.7k Reviews),Public,"Gandhinagar,Gujrat + 518 more",4 years old,10k-50k employees (India),220,10k-50k Employees | Public | 5 years old | Mumbai +604 more,4.2,14.3k Reviews,78.4k Salaries,357 Jobs
12,Vodafone Idea,4.2,(11.7k Reviews),Public,"Gandhinagar,Gujrat + 518 more",4 years old,10k-50k employees (India),420,10k-50k Employees | Public | 5 years old | Mumbai +604 more,4.2,14.3k Reviews,78.4k Salaries,357 Jobs
15,IBM,4.1,(11.7k Reviews),Public,New York + 101 more,111 years old,50k-1 Lakh employees (India),14,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +131 more,4.1,17.7k Reviews,205.5k Salaries,2.8k Jobs
15,IBM,4.1,(11.7k Reviews),Public,New York + 101 more,111 years old,50k-1 Lakh employees (India),214,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +131 more,4.1,17.7k Reviews,205.5k Salaries,2.8k Jobs
15,IBM,4.1,(11.7k Reviews),Public,New York + 101 more,111 years old,50k-1 Lakh employees (India),414,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +131 more,4.1,17.7k Reviews,205.5k Salaries,2.8k Jobs
17,Amazon,4.2,(10.7k Reviews),Private,"Seattle,Washington + 296 more",28 years old,10k-50k employees (India),13,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +394 more,4.2,17.9k Reviews,118.9k Salaries,694 Jobs
17,Amazon,4.2,(10.7k Reviews),Private,"Seattle,Washington + 296 more",28 years old,10k-50k employees (India),213,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +394 more,4.2,17.9k Reviews,118.9k Salaries,694 Jobs
17,Amazon,4.2,(10.7k Reviews),Private,"Seattle,Washington + 296 more",28 years old,10k-50k employees (India),413,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +394 more,4.2,17.9k Reviews,118.9k Salaries,694 Jobs
